,Falcon 9,Electron,Atlas 5,PSLV,Ariane 5,Vega,H2,GSLV,Other
0-1t,10,65,1,8,0,5,0,0,24
1-2t,25,0,5,4,0,5,5,0,11
2-3t,13,0,2,0,0,1,1,4,5
3-4t,22,0,3,0,0,0,2,1,4
4-5t,25,0,2,0,0,0,1,1,8
5-6t,9,0,2,0,1,0,1,3,2
6-7t,12,0,3,0,4,0,1,0,1
7-8t,6,0,3,0,0,0,0,0,1
8-9t,5,0,0,0,0,0,0,0,6
9-10t,1,0,0,0,4,0,0,0,1
10-11t,4,0,0,0,2,0,0,0,3
11-12t,4,0,0,0,0,0,0,0,0
12-13t,8,0,0,0,0,0,0,0,0
13-14t,36,0,4,0,0,0,0,0,0
14-15t,33,0,1,0,0,0,0,0,0
15-16t,93,0,0,0,0,0,0,0,1
16-17t,176,0,0,0,0,0,0,0,0
17-18t,37,0,0,0,0,0,0,0,0
18-19t,31,0,0,0,0,0,0,0,0
19-20t,0,0,0,0,0,0,0,0,2
