,Starlink,LEO Constellation,GEO/MEO Constellation,Small Sat Rideshare,Small Sat,Commercial LEO/SSO/MEO,Commercial GTO/GEO,Capsule/Cargo,High-Energy,ISS,Military LEO,Military non-LEO,Government LEO,Government non-LEO
0-1t,0,7,0,4,43,1,0,0,1,0,26,0,28,4
1-2t,1,2,0,1,0,6,1,0,4,0,11,3,12,14
2-3t,1,1,0,3,0,0,0,0,2,0,3,1,11,4
3-4t,0,0,5,2,0,2,5,0,0,0,6,5,4,3
4-5t,0,1,0,1,0,0,12,0,0,0,2,15,2,5
5-6t,1,6,0,0,0,4,2,0,0,0,2,1,0,3
6-7t,0,1,0,0,0,0,11,0,0,1,2,5,0,1
7-8t,0,0,0,0,0,1,3,3,1,0,1,1,0,0
8-9t,0,0,0,0,0,0,0,9,0,0,2,0,0,0
9-10t,0,0,0,0,0,0,5,0,0,0,1,0,0,0
10-11t,2,0,0,0,0,0,1,2,0,1,0,0,0,3
11-12t,0,3,0,0,0,1,0,0,0,0,0,0,0,0
12-13t,0,0,0,0,0,0,0,7,0,0,1,0,0,0
13-14t,23,4,0,0,0,0,0,13,0,0,1,0,0,0
14-15t,33,1,0,0,0,0,0,1,0,0,0,0,0,0
15-16t,78,1,0,0,0,0,0,12,0,0,3,0,0,0
16-17t,174,0,0,0,0,0,0,0,0,0,2,0,0,0
17-18t,33,0,0,0,0,0,0,0,0,0,4,0,0,0
18-19t,31,0,0,0,0,0,0,0,0,0,0,0,0,0
19-20t,0,0,0,0,0,0,0,0,0,0,2,0,0,0
