,LEO,SSO,MEO,GTO,GEO,HEO,BEO
200-400kg,12,0,1,0,0,1,0
400-600kg,6,1,0,1,0,0,0
600-800kg,4,0,0,0,0,0,2
800-1000kg,10,1,0,0,0,0,0
1000-1200kg,8,1,0,0,0,0,0
1200-1400kg,6,2,0,0,0,0,0
1400-1600kg,10,2,4,0,0,0,0
1600-1800kg,5,1,0,0,0,0,0
1800-2000kg,4,0,0,0,0,0,0
2000-2200kg,3,2,0,0,0,0,0
2200-2400kg,2,2,0,0,0,0,0
2400-2600kg,2,0,0,0,0,0,0
2600-2800kg,2,0,0,0,0,0,0
2800-3000kg,4,1,0,0,0,0,0
3000-3200kg,2,0,0,0,0,0,0
3200-3400kg,3,0,0,0,0,0,0
3400-3600kg,2,1,0,0,0,0,0
3600-3800kg,2,0,0,0,0,0,0
3800-4000kg,3,0,0,0,0,0,0
4000-4200kg,1,0,0,0,0,0,0
4200-4400kg,1,0,0,0,0,0,0
4400-4600kg,0,1,0,0,0,0,0
4600-4800kg,0,0,0,0,0,0,0
4800-5000kg,2,0,0,0,0,0,0
