Year,PSLV,Atlas 5,H2,Falcon 9,Antares 120,Minotaur 1,Delta 2,Antares 230,Pegasus,Vega,Other
2000,0,0,0,0,0,12,1,0,2,0,4
2001,2,0,1,0,0,0,1,0,0,0,6
2002,0,0,3,0,0,0,0,0,0,0,2
2003,0,0,0,0,0,0,4,0,3,0,0
2004,0,0,0,0,0,0,0,0,0,0,6
2005,1,0,0,0,0,1,0,0,0,0,1
2006,0,0,0,0,0,7,2,0,3,0,9
2007,2,5,2,0,0,0,5,0,1,0,1
2008,9,0,0,0,0,0,0,0,1,0,2
2009,6,0,7,0,0,4,0,0,0,0,6
2010,4,0,4,8,0,0,0,0,0,0,11
2011,5,0,0,0,0,1,5,0,0,0,6
2012,1,12,7,1,0,0,0,0,0,9,0
2013,6,13,4,5,0,30,0,0,1,3,5
2014,4,0,14,12,59,0,0,0,0,0,2
2015,13,45,16,30,0,0,4,0,0,0,0
2016,27,36,17,0,0,0,0,4,8,4,4
2017,133,38,0,12,0,0,5,16,0,1,14
