Year,Flock-3,Flock-1/I,Spire,Flock-2/I,Orbcomm OG2,Prometheus,Aerocube,Flock-2/S,Skysat,SMDC Cube,Ames,CERISE,Other
2000,0,0,0,0,0,0,0,0,0,0,0,0,19
2001,0,0,0,0,0,0,0,0,0,0,0,0,10
2002,0,0,0,0,0,0,0,0,0,0,0,0,5
2003,0,0,0,0,0,0,0,0,0,0,0,0,7
2004,0,0,0,0,0,0,0,0,0,0,0,4,2
2005,0,0,0,0,0,0,0,0,0,0,0,0,3
2006,0,0,0,0,0,0,0,0,0,0,1,0,20
2007,0,0,0,0,0,0,0,0,0,0,0,0,16
2008,0,0,0,0,0,0,0,0,0,0,0,0,12
2009,0,0,0,0,0,0,1,0,0,0,1,0,21
2010,0,0,0,0,0,4,0,0,0,1,2,0,20
2011,0,0,0,0,0,0,0,0,0,0,0,4,13
2012,0,0,0,0,1,0,3,0,0,2,0,0,24
2013,0,0,0,0,0,8,2,0,0,5,0,0,52
2014,0,50,0,0,6,0,0,0,0,0,2,0,33
2015,0,16,4,24,11,0,4,0,0,3,2,0,44
2016,0,0,16,20,0,2,2,12,5,0,0,0,43
2017,92,0,28,0,0,2,2,0,6,0,1,0,88
