,Observation,Communications,Science,Tech Demo,Other
0-10kg,521,450,41,427,162
10-20kg,57,33,2,53,24
20-30kg,10,52,1,19,4
30-40kg,39,1,0,5,2
40-50kg,38,15,0,17,3
50-60kg,27,0,0,3,1
60-70kg,16,0,0,4,9
70-80kg,1,6,0,3,40
80-90kg,6,2,0,4,20
90-100kg,7,5,0,20,15
100-110kg,11,3,0,4,1
110-120kg,2,1,0,3,25
120-130kg,2,2,0,3,1
130-140kg,4,1,0,3,4
140-150kg,3,1,0,26,13
150-160kg,7,0,0,3,1
160-170kg,1,0,0,1,0
170-180kg,2,1,1,1,7
180-190kg,0,0,0,1,0
190-200kg,5,4,2,4,1
200-210kg,0,0,0,1,1
210-220kg,0,0,0,2,1
220-230kg,0,0,0,0,0
230-240kg,0,0,1,0,0
240-250kg,1,0,3,4,7
250-260kg,0,0,0,1,0
260-270kg,0,0,0,2,0
270-280kg,7,0,0,6,1
280-290kg,0,0,5,0,0
290-300kg,1,0,0,1,10
