,Commercial,Government,Military
0-10kg,1055,452,94
10-20kg,116,43,10
20-30kg,77,5,4
30-40kg,45,2,0
40-50kg,56,9,8
50-60kg,26,5,0
60-70kg,11,17,1
70-80kg,48,0,2
80-90kg,30,0,2
90-100kg,19,2,25
100-110kg,15,2,2
110-120kg,29,1,1
120-130kg,7,1,0
130-140kg,8,1,3
140-150kg,38,0,4
150-160kg,6,2,3
160-170kg,0,2,0
170-180kg,9,3,0
180-190kg,0,0,1
190-200kg,8,4,4
200-210kg,1,1,0
210-220kg,0,3,0
220-230kg,0,0,0
230-240kg,0,1,0
240-250kg,6,2,7
250-260kg,1,0,0
260-270kg,2,0,0
270-280kg,7,7,0
280-290kg,0,5,0
290-300kg,0,1,11
