,Planet Labs,Spire,NASA,USAF,DoD,Orbcomm,US Army,SOCOM/LANL,USN,LARCN/SWRIB,NSPO,France,Other
0-10kg,214,48,15,9,21,0,12,12,10,0,0,0,246
10-20kg,0,0,2,1,0,0,0,0,0,0,0,0,11
20-30kg,0,0,4,4,0,0,0,0,0,8,0,0,6
30-40kg,0,0,1,0,0,0,0,0,0,0,0,0,3
40-50kg,0,0,0,2,0,0,1,0,1,0,0,0,18
50-60kg,0,0,2,0,0,0,0,0,1,0,0,0,6
60-70kg,0,0,0,2,0,0,0,0,0,0,6,0,3
70-80kg,0,0,0,0,0,0,0,0,0,0,0,0,4
80-90kg,0,0,1,0,0,0,0,0,0,0,0,0,3
90-100kg,0,0,0,0,0,0,0,0,0,0,0,0,8
100-110kg,6,0,1,1,0,0,0,0,0,0,0,0,8
110-120kg,0,0,0,0,0,0,0,0,0,0,0,6,10
120-130kg,0,0,6,1,0,0,0,0,0,0,0,0,4
130-140kg,0,0,0,2,0,0,0,0,0,0,0,0,2
140-150kg,0,0,0,3,0,0,0,0,0,0,0,0,3
150-160kg,0,0,0,1,0,0,0,0,0,0,0,0,0
160-170kg,0,0,0,2,0,1,0,0,0,0,0,0,1
170-180kg,0,0,1,0,0,17,0,0,0,0,0,0,1
180-190kg,0,0,1,0,0,0,0,0,0,0,0,0,1
190-200kg,0,0,1,0,0,0,0,0,0,0,0,0,0
200-210kg,0,0,0,0,0,0,0,0,0,0,0,0,0
210-220kg,0,0,1,0,0,0,0,0,0,0,0,0,0
220-230kg,0,0,0,0,1,0,0,0,0,0,0,0,0
230-240kg,0,0,0,0,0,0,0,0,0,0,0,0,1
240-250kg,0,0,0,1,2,0,0,0,0,0,0,0,0
250-260kg,0,0,0,0,0,0,0,0,0,0,0,0,0
260-270kg,0,0,0,0,0,0,0,0,0,0,0,0,1
270-280kg,0,0,1,0,0,0,0,0,0,0,0,0,0
280-290kg,0,0,1,0,0,0,0,0,0,0,0,0,0
290-300kg,0,0,0,0,0,0,0,0,0,0,0,0,7
