,Planet Labs,Swarm Tech,Spire,SpaceX,DoD,ICEYE,HawkEye 360,USAF,Satellogic SA,NASA,Kineis,NRO,Other
0-10kg,361,133,68,68,37,0,0,9,0,19,0,1,906
10-20kg,0,0,1,0,1,0,4,4,0,10,0,0,149
20-30kg,0,0,0,0,0,0,0,1,0,0,25,0,60
30-40kg,0,0,0,0,0,0,33,0,0,0,0,0,14
40-50kg,0,0,0,0,3,0,0,1,33,0,0,3,33
50-60kg,0,0,0,0,0,0,0,0,0,0,0,0,31
60-70kg,0,0,0,0,0,1,0,1,0,0,0,0,27
70-80kg,0,0,0,0,0,26,0,0,0,0,0,0,24
80-90kg,0,0,0,0,1,12,0,0,0,0,0,0,19
90-100kg,0,0,0,0,0,0,0,14,0,0,0,3,30
100-110kg,8,0,0,0,0,0,0,1,0,0,0,0,10
110-120kg,0,0,0,0,0,2,0,0,0,0,0,0,29
120-130kg,0,0,0,0,0,0,0,0,0,0,0,0,8
130-140kg,0,0,0,0,0,0,0,2,0,0,0,0,10
140-150kg,1,0,0,0,0,0,0,0,0,0,0,4,38
150-160kg,6,0,0,0,2,0,0,0,0,1,0,0,2
160-170kg,0,0,0,0,0,0,0,0,0,0,0,0,2
170-180kg,0,0,0,0,0,0,0,0,0,0,0,0,12
180-190kg,0,0,0,0,0,0,0,1,0,0,0,0,0
190-200kg,0,0,0,0,4,0,0,0,0,0,0,0,12
200-210kg,0,0,0,0,0,0,0,0,0,0,0,0,2
210-220kg,0,0,0,0,0,0,0,0,0,0,0,0,3
220-230kg,0,0,0,0,0,0,0,0,0,0,0,0,0
230-240kg,0,0,0,0,0,0,0,0,0,1,0,0,0
240-250kg,0,0,0,0,0,0,0,0,0,0,0,6,9
250-260kg,0,0,0,0,0,0,0,0,0,0,0,0,1
260-270kg,0,0,0,0,0,0,0,0,0,0,0,0,2
270-280kg,0,0,0,0,0,0,0,0,0,0,0,0,14
280-290kg,0,0,0,0,0,0,0,0,0,1,0,0,4
290-300kg,0,0,0,0,0,0,0,0,0,0,0,8,4
