,Flock-3,Flock-1/I,Spire,Flock-2/I,Orbcomm OG2,Prometheus,Aerocube,Flock-2/S,Skysat,SMDC Cube,Ames,CERISE,Other
0-10kg,92,66,48,44,0,16,14,12,0,11,8,0,276
10-20kg,0,0,0,0,0,0,0,0,0,0,1,0,13
20-30kg,0,0,0,0,0,0,0,0,0,0,0,0,22
30-40kg,0,0,0,0,0,0,0,0,0,0,0,0,4
40-50kg,0,0,0,0,0,0,0,0,0,0,0,0,22
50-60kg,0,0,0,0,0,0,0,0,0,0,0,0,9
60-70kg,0,0,0,0,0,0,0,0,0,0,0,0,11
70-80kg,0,0,0,0,0,0,0,0,0,0,0,0,4
80-90kg,0,0,0,0,0,0,0,0,0,0,0,0,4
90-100kg,0,0,0,0,0,0,0,0,0,0,0,0,8
100-110kg,0,0,0,0,0,0,0,0,11,0,0,0,5
110-120kg,0,0,0,0,0,0,0,0,0,0,0,8,8
120-130kg,0,0,0,0,0,0,0,0,0,0,0,0,11
130-140kg,0,0,0,0,0,0,0,0,0,0,0,0,4
140-150kg,0,0,0,0,0,0,0,0,0,0,0,0,6
150-160kg,0,0,0,0,0,0,0,0,0,0,0,0,1
160-170kg,0,0,0,0,1,0,0,0,0,0,0,0,3
170-180kg,0,0,0,0,17,0,0,0,0,0,0,0,2
180-190kg,0,0,0,0,0,0,0,0,0,0,0,0,2
190-200kg,0,0,0,0,0,0,0,0,0,0,0,0,1
200-210kg,0,0,0,0,0,0,0,0,0,0,0,0,0
210-220kg,0,0,0,0,0,0,0,0,0,0,0,0,1
220-230kg,0,0,0,0,0,0,0,0,0,0,0,0,1
230-240kg,0,0,0,0,0,0,0,0,0,0,0,0,1
240-250kg,0,0,0,0,0,0,0,0,0,0,0,0,3
250-260kg,0,0,0,0,0,0,0,0,0,0,0,0,0
260-270kg,0,0,0,0,0,0,0,0,0,0,0,0,1
270-280kg,0,0,0,0,0,0,0,0,0,0,0,0,1
280-290kg,0,0,0,0,0,0,0,0,0,0,0,0,1
290-300kg,0,0,0,0,0,0,0,0,0,0,0,0,7
