,Electron,Falcon 9,PSLV,Vega,Firefly Alpha,LauncherOne,Minotaur 4,Shavit,Other
0-50kg,9,0,0,0,2,3,0,0,2
50-100kg,12,0,0,0,1,1,0,0,1
100-150kg,39,0,0,0,0,0,0,0,0
150-200kg,3,0,0,0,0,0,1,0,2
200-250kg,1,0,0,0,1,0,0,0,2
250-300kg,1,0,0,0,0,0,0,3,0
300-350kg,0,1,0,1,0,0,0,0,1
350-400kg,0,1,0,0,0,0,0,0,0
400-450kg,0,0,1,0,0,0,0,0,1
450-500kg,0,0,1,0,0,0,1,0,0
500-550kg,0,0,2,0,0,0,0,0,0
550-600kg,0,0,1,0,0,0,0,0,1
600-650kg,0,1,0,0,0,0,0,0,0
650-700kg,0,1,2,0,0,0,0,0,0
700-750kg,0,0,0,1,0,0,0,0,0
750-800kg,0,1,0,0,0,0,0,0,0
800-850kg,0,1,1,1,0,0,0,0,0
850-900kg,0,0,0,0,0,0,0,0,0
900-950kg,0,1,0,1,0,0,0,0,0
950-1000kg,0,3,0,1,0,0,1,0,1
