Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,Launch_Month
2013-016,2456404.38,2013-04-21,Antares 110,-,2TRS2S1.2  (1),Cygnus Mass Sim,A-ONE,70101-402,-,MARS,Pad 0A,-,-,228.0, ,    -, ,-,3.808,OSC,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 110,US,United States,Wallops MARS,,3809.0,2013-04-24,218.0,51.64,LLEO/I,Tech Demo,C,Government,24160
2013-051,2456554.12,2013-09-18,Antares 110,-,2TRS2S1.3  (2),S.S. G. David Low,Cygnus Orb-D,-,-,MARS,Pad 0A,-,-,415.0, ,    -, ,-,4.827,OSC,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 110,US,United States,Wallops MARS,,2627.0,2013-09-20,387.0,51.63,LLEO/I,Other,B,Government,24165
2014-003,2456667.25,2014-01-09,Antares 120,-,2TRS2S1.1  (3),S.S. C. Gordon Fullerton,Cygnus Orb-1,70101-401,-,MARS,Pad 0A,-,-,415.0, ,    -, ,-,6.489,OSC,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 120,US,United States,Wallops MARS,,3223.0,2014-01-11,406.0,51.63,LLEO/I,Other,B,Government,24169
2014-039,2456852.2,2014-07-13,Antares 120,-,2TRS2S1.4  (4),S.S. Janice Voss,Cygnus Orb-2,70102-401,-,MARS,Pad 0A,-,-,412.0, ,    -, ,-,6.923,OSC,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 120,US,United States,Wallops MARS,,3647.0,2014-07-15,386.0,51.64,LLEO/I,Other,B,Government,24175
2014-F02,2456959.43,2014-10-28,Antares 130,-,2TRS2S1.5  (5),S.S. Deke Slayton,Cygnus Orb-3,70103-404,-,MARS,Pad 0A,-,-,, ,    -, ,-,8.356,OSC,OF,S1P,CX/C,Sat ISS O,Wire,-,Turbopump failed,LEO,Zenit,Antares 130,US,United States,Wallops MARS,,,,,,,,,Government,24178
2016-062,2457679.49,2016-10-17,Antares 230,-,2TRS2S1.7  (6),S.S. Alan Poindexter,Cygnus OA-5,70105-301,-,MARS,Pad 0A,-,-,351.0, ,    -, ,-,8.534,OSC,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230,US,United States,Wallops MARS,,1816.0,2016-10-18,209.0,51.61,LLEO/I,Other,B,Government,24202
2017-071,2458070.01,2017-11-12,Antares 230,-,2TRS2S1.8  (7),S.S. Gene Cernan,Cygnus OA-8,70105-401,-,MARS,Pad 0A,-,-,316.0, ,    -, ,-,7.089,OSC,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230,US,United States,Wallops MARS,,1869.6,2017-11-13,198.0,51.59,LLEO/I,Other,B,Government,24215
2018-046,2458259.86,2018-05-21,Antares 230,-,2TRS2S1.6  (8),S.S. J.R. Thompson,Cygnus OA-9,70104-303,-,MARS,Pad 0A,-,-,407.0, ,    -, ,-,10.564,OSC,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230,US,United States,Wallops MARS,,2085.8,2018-05-24,402.0,51.65,LLEO/I,Other,B,Government,24221
2018-092,2458439.88,2018-11-17,Antares 230,-,2TRS2S1.9  (9),S.S. John Young,Cygnus NG-10,70107-301,-,MARS,Pad 0A,-,-,408.0, ,    -, ,-,10.48,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230,US,United States,Wallops MARS,,2005.86,2018-11-19,401.0,51.64,LLEO/I,Other,B,Government,24227
2019-022,2458591.37,2019-04-17,Antares 230,-,2TRS2S1.10 (10),S.S. Roger Chaffee,Cygnus NG-11,70107-302,-,MARS,Pad 0A,-,-,403.0, ,    -, ,-,10.451,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230,US,United States,Wallops MARS,,2025.304,2019-04-18,400.0,51.63,LLEO/I,Other,B,Government,24232
2019-071,2458790.08,2019-11-02,Antares 230+,-,2TRS2S1.11 (11),S.S. Alan Bean,Cygnus NG-12,70107-,-,MARS,Pad 0A,-,-,416.0, ,    -, ,-,11.796,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2548.0,2019-11-03,380.0,51.64,LLEO/I,Other,B,Government,24239
2020-011,2458895.35,2020-02-15,Antares 230+,-,2TRS2S1.12 (12),S.S. Robert Lawrence,Cygnus NG-13,70108-401,-,MARS,Pad 0A,-,-,272.0, ,    -, ,-,11.721,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2637.0,2020-02-16,206.0,51.63,LLEO/I,Other,B,Government,24242
2020-069,2459125.55,2020-10-03,Antares 230+,-,2TRS2S1.13? (13),S.S. Kalpana Chawla,Cygnus NG-14,-,-,MARS,Pad 0A,-,-,418.0, ,    -, ,-,11.804,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2541.2,2020-10-05,415.0,51.65,LLEO/I,Other,B,Government,24250
2021-013,2459266.23,2021-02-20,Antares 230+,-,2TRS2S1.14? (14),S.S. Katherine Johnson,Cygnus NG-15,-,-,MARS,Pad 0A,-,-,422.0, ,    -, ,-,11.986,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2468.768,2021-02-22,418.0,51.64,LLEO/I,Other,B,Government,24254
2021-072,2459437.42,2021-08-10,Antares 230+,-,2TRS2S1.15? (15),S.S. Ellison Onizuka,Cygnus NG-16,-,-,MARS,Pad 0A,-,-,336.0, ,    -, ,-,11.924,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2326.0,2021-08-10,216.0,51.63,LLEO/I,Other,B,Government,24260
2022-015,2459630.24,2022-02-19,Antares 230+,-,2TRS2S1.16? (16),S.S. Piers Sellers,Cygnus NG-17,-,-,MARS,Pad 0A,-,-,417.0, ,    -, ,-,11.992,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2347.0,2022-02-21,409.0,51.64,LLEO/I,Other,B,Government,24266
2022-149,2459890.94,2022-11-07,Antares 230+,-,2TRS2S1.17? (17),S.S. Sally Ride,Cygnus NG-18,-,-,MARS,Pad 0A,-,-,332.0, ,    -, ,-,12.114,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2331.0,2022-11-07,227.0,51.67,LLEO/I,Other,B,Government,24275
2023-110,2460158.52,2023-08-02,Antares 230+,-,2TRS2S1.18? (18),S.S. Laurel Clark,Cygnus NG-19,-,-,MARS,Pad 0A,-,-,386.0, ,    -, ,-,11.809,NGIS,OS,-,CX/C,Sat ISS O,Wire,-,-,LEO,Zenit,Antares 230+,US,United States,Wallops MARS,,2326.0,2023-08-02,209.0,51.64,LLEO/I,Other,B,Government,24284
