Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1979-104,2444232.22,1979-12-24,Ariane 1,-,L01,-,CAT,-,-,CSG,ELA1,-,-,35824.0, ,    -, ,-,1.602,ESA,OS,-,G,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,1602.0,1980-01-23,182.0,17.63,GTO,Tech Demo,C,Government
1980-F01,2444383.1,1980-05-23,Ariane 1,-,L02,Firewheel,CAT,-,-,CSG,ELA1,-,-,20.0,?,    -, ,-,1.62,ESA,OF,S1P,G,Sat GTO O,CNES32,-,Combustion instability,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,,,,,,,,Government
1981-057,2444775.02,1981-06-19,Ariane 1,-,L03,Meteosat 2/Apple,Meteosat F2,-,-,CSG,ELA1,-,-,35969.0, ,    -, ,-,1.636,ESA,OS,-,G,Sat GTO O,CNES32,Desobeau,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,919.0,1981-07-27,35838.0,1.01,GEO/D,Observation,C,Government
1981-122,2444958.56,1981-12-20,Ariane 1,-,L04,Marecs 1,Marecs A,-,-,CSG,ELA1,-,-,35796.0, ,    -, ,-,1.675,ESA,OS,-,G,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,1210.0,1982-02-10,35774.0,2.17,GEO/S,Communications,C,Government
1982-F06,2445221.59,1982-09-09,Ariane 1,-,L5,Marecs B/Sirio B,Marecs B,-,-,CSG,ELA1,-,-,220.0,?,    -, ,-,1.47,ESA,OF,S3P,G,Sat GTO O 1,Desobeau,-,Turbopump fail,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,,,,,,,,Government
1983-058,2445502.0,1983-06-16,Ariane 1,-,L6,ECS 1,ECS 1,-,-,CSG,ELA1,-,-,35797.0, ,    -, ,-,1.292,ESA,OS,-,G,Sat GTO O,Desobeau,CNES32,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,728.0,1983-07-27,35780.0,0.01,GEO/S,Communications,C,Government
1983-105,2445626.53,1983-10-19,Ariane 1,-,L7,Intelsat 507,INTELSAT V F7,-,-,CSG,ELA1,-,-,35902.0, ,    -, ,-,1.87,ESA,OS,-,G/OG,Sat GTO O,Desobeau,CNES32,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,946.0,1984-01-04,35672.0,0.24,GEO/S,Communications,C,Government
1984-023,2445764.53,1984-03-05,Ariane 1,-,L8,Intelsat 508,INTELSAT V F8,-,-,CSG,ELA1,-,-,35955.0, ,    -, ,-,1.87,ESA,OS,-,G/OG,Sat GTO O,Desobeau,CNES32,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,945.0,1984-04-09,35927.0,0.32,GEO/D,Communications,C,Government
1984-049,2445843.56,1984-05-23,Ariane 1,-,V9  L9,Spacenet 1,Spacenet F1,-,-,CSG,ELA1,-,-,35788.0, ,    -, ,-,1.196,AE,OS,-,CO,Sat GTO O,CNES32,-,-,GTO,Scientific,Ariane,Ariane 1,GUF,French Guiana,Kourou,,672.0,1984-06-22,35785.0,0.05,GEO/S,Communications,B,Commercial
1984-081,2445917.06,1984-08-04,Ariane 3,-,V10 L12,ECS 2/Telecom 1A,ECS 2,-,-,CSG,ELA1,-,-,35825.0, ,    -, ,-,2.377,AE,OS,-,CO/G,Sat GTO O 1,CNES32,-,-,GTO,Scientific,Ariane,Ariane 3,GUF,French Guiana,Kourou,,1236.0,1984-09-13,35746.0,0.04,GEO/S,Communications,C,Commercial
