JCAT,Satcat,Launch_Tag,Piece,Type,Name,PLName,Launch_Date,Parent,Separation_Date,Primary,Decay_Date,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,Orbit_Canonical_Date,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames,Simple_Orbit,Country,Payload_Name,Payload_Program,Payload_Class,Payload_Category,Payload_Discipline,Payload_Result,Payload_Comment,Simple_Payload_Category,LV_Type,Agency,Launch_Site,Launch_Pad,Launch_Vehicle_Family,Launch_Vehicle_Simplified,Launch_Site_Parent,Launch_Site_Name,Launch_State,Launch_Country,Launch_Year
S00424,00424,1962 B ALP,1962 B ALP 1,P           ,Alouette 1,Alouette 1,1962-09-29,A00270,1962-09-29,Earth,,O,-,DRTE,CA,DEHAVT/RCAV,Alouette,-,145.0,    145  ,145.0,   0.9  ,1.1,   46.0  ,0.0,1962 Nov 10,999.0,    1027 ,80.47,LEO/I,-,,0.0,,0.0,,0.0,,,,,nan,Canada,[Alouette],Alouette,C,SCI,ION/RFA*,S,Ionospheric sounder,Science,Thor Agena B,-,V,75-1-1,Thor,Thor,Vandenberg,Vandenberg,US,United States,1962
S01804,01804,1965-098,1965-098A,P           ,Alouette 2,Alouette 2,1965-11-29,S01808,1965-11-29,Earth,,O,-,DRTE,CA,DEHAVT/RCAV,Alouette,-,145.0,    145  ,145.0,   1.1  ,0.9,   73.0  ,0.0,1966 Jan 27,502.0,    2986 ,79.85,LEO/I,-,,0.0,,0.0,,0.0,,,,,nan,Canada,[Alouette 2],Alouette,C,SCI,ION/RFA*,U,Ionospheric sounder,Science,Thor SLV-2 Agena B,-,V,75-1-1,Thor,Thor,Vandenberg,Vandenberg,US,United States,1965
S03669,03669,1969-009,1969-009A,P           ,Isis 1,Isis A,1969-01-30,S03670,1969-01-30,Earth,,O,-,CRC,CA,RCAV,Isis,-,236.0,    236  ,236.0,   1.0  ,1.3,   73.0  ,0.0,1969 Mar 16,575.0,    3525 ,88.41,MEO,-,,0.0,,0.0,,0.0,,,,,nan,Canada,[Isis 1],Isis,C,SCI,ION/RFA/P*,U,Ionospheric studies,Science,Thor Delta E1,-,V,SLC2E,Thor,Thor,Vandenberg,Vandenberg,US,United States,1969
S05104,05104,1971-024,1971-024A,P           ,Isis 2,Isis B,1971-04-01,S05106,1971-04-01,Earth,,O,-,CRC,CA,RCAV,Isis,-,264.0,    264  ,264.0,   1.2  ,1.3,   73.0  ,0.0,1971 May  2,1356.0,    1428 ,88.15,LEO/P,-,,0.0,,0.0,,0.0,,,,,nan,Canada,[ISIS 2],Isis,C,SCI,ION/P/F/RFA*,U,Ionosphere,Science,Thor Delta E1,-,V,SLC2E,Thor,Thor,Vandenberg,Vandenberg,US,United States,1971
S06278,06278,1972-090,1972-090A,P           ,Anik A1,Anik A1,1972-11-10,S08312,1972-11-10,Earth,,O,-,TCAN,CA,HSES,HS-333,FW5,250.0,    185 ?,540.0,   1.5  ,2.2,    3.5  ,0.0,1977 Jan 28,35775.0,   35798 ,0.28,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Anik I,Anik A,B,COM,-,U,-,Communications,Delta 1914,-,CC,LC17B,Thor,Delta 1,Canaveral,Canaveral,US,United States,1972
S06437,06437,1973-023,1973-023A,P           ,Anik A2,Anik A2,1973-04-20,S13939,1973-04-21,Earth,,O,-,TCAN,CA,HSES,HS-333,FW5,0.0,    189 ?,544.0,   1.5  ,2.2,    3.5  ,0.0,1977 Jan 25,35780.0,   35792 ,0.03,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Anik II,Anik A,B,COM,-,U,-,Communications,Delta 1914,-,CC,LC17B,Thor,Delta 1,Canaveral,Canaveral,US,United States,1973
S07790,07790,1975-038,1975-038A,P           ,Anik A3,Anik A3,1975-05-07,S07794,1975-05-08,Earth,,O,-,TCAN,CA,HSES,HS-333,FW5,254.0,    189 ?,544.0,   1.5  ,2.2,    3.5  ,0.0,1977 Jan 26,35774.0,   35797 ,0.01,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,[Telesat 3],Anik A,B,COM,-,U,-,Communications,Delta 2914,-,CC,LC17B,Thor,Delta 1,Canaveral,Canaveral,US,United States,1975
S08585,08585,1976-004,1976-004A,P           ,Hermes,CTS,1976-01-17,S08598,1976-01-17,Earth,,O,-,CRC,CA,CRC,CTS,-,336.0,    311  ,685.0,   1.9  ,1.8,   16.5  ,0.0,1977 Jan 20,35759.0,   35813 ,0.06,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,[CTS 1],CTS,C,COM,-,U,-,Communications,Delta 2914,-,CC,LC17B,Thor,Delta 1,Canaveral,Canaveral,US,United States,1976
S11153,11153,1978-116,1978-116A,P           ,Anik B,Anik B,1978-12-16,S13915,1978-12-16,Earth,,O,-,TCAN,CA,RCA,Satcom,SVM-7,488.0,    350 ?,922.0,   1.6 ?,1.3,   11.3 ?,0.0,1979 Jan 31,35781.0,   35790 ,0.03,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,ANIK-B-1,Anik B,B,COM,-,U,-,Communications,Delta 3914,-,CC,LC17A,Thor,Delta 1,Canaveral,Canaveral,US,United States,1978
S13431,13431,1982-082,1982-082A,P           ,Anik D1,Anik D1,1982-08-26,S13447,1982-08-26,Earth,,O,-,TCAN,CA,HSES/SPARM,HS-383,TE-M-700-5,729.0,    529  ,1232.0,   6.6  ,2.2,    6.6  ,0.0,1982 Sep 27,35781.0,   35791 ,0.03,GEO/S,-,,0.0,,0.0,,0.0,,,,,nan,Canada,Anik D-1,Anik D,B,COM,-,S,-,Communications,Delta 3920/PAM,-,CC,LC17B,Thor,Delta 1,Canaveral,Canaveral,US,United States,1982
