JCAT,Satcat,Launch_Tag,Piece,Type,Name,PLName,Launch_Date,Parent,Separation_Date,Primary,Decay_Date,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,Orbit_Canonical_Date,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames,Simple_Orbit,Country,Payload_Name,Payload_Program,Payload_Class,Payload_Category,Payload_Discipline,Payload_Result,Payload_Comment,Simple_Payload_Category,LV_Type,Agency,Launch_Site,Launch_Pad,Launch_Vehicle_Family,Launch_Vehicle_Simplified,Launch_Site_Parent,Launch_Site_Name,Launch_State,Launch_Country,Launch_Year
S39132,39132,2013-015,2013-015C,P           ,Dove-2,Dove 0405,2013-04-19,A08014,2013-04-21,Earth,,O,-,COSMOG,US,COSMOG,Cubesat 3U,-,6.0, ,6.0, ,5.0, ,0.3, ,0.1, ,0.3, ,Box,2013-04-26,559.0, ,581.0, ,64.88, ,LLEO/I,-,-,LEO,United States,Dove 2,Flock Dove,B,IMG,-,S,-,Observation,Soyuz-2-1A,FKA,GIK-5,LC31,R-7,Soyuz,Baykonur,,RU,Russia,2013
S39143,39143,2013-016,2013-016B,P           ,Dove-1,Dove 0601,2013-04-21,S39145,2013-04-21,Earth,2013-04-27,R,-,COSMOG,US,COSMOG,Cubesat 3U,-,6.0, ,6.0, ,5.0, ,0.3, ,0.1, ,0.3, ,Box,2013-04-24,210.0, ,232.0, ,51.62, ,LLEO/I,-,-,LEO,United States,Dove 1,Flock Dove,B,TECH,-,S,-,Tech Demo,Antares 110,OSC,MARS,Pad 0A,Zenit,Antares 110,Wallops MARS,,US,United States,2013
S39429,39429,2013-066,2013-066P,P           ,Dove-3,Dove 0711,2013-11-21,S39448,2013-11-21,Earth,,O,-,PLABS,US,PLABS,Cubesat 3U,-,5.2, ,5.2, ,5.2, ,0.34, ,0.1, ,0.34, ,Box + 2 pan,2013-11-24,593.0, ,815.0, ,97.78, ,LEO/S,-,-,SSO,United States,Dove 3,Flock Dove,B,IMG,-,S,-,Observation,Dnepr,KTRAS/RVSNR,YAS,Sh370/13,R-36,Dnepr,Yasniy,,RU,Russia,2013
S39512,39512,2014-003,1998-067DG,P    D      ,Flock 1-03,Dove 074B,2014-01-09,A08077*,2014-02-11,Earth,2014-05-15,R,-,PLABS,US,PLABS,Cubesat 3U,-,4.25, ,4.25, ,4.25, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2014-02-12,411.0, ,416.0, ,51.65, ,LLEO/I,-,JSPOC Flock 1-03,LEO,United States,Flock 1-3,Flock-1/I,B,IMG,-,S,-,Observation,Antares 120,OSC,MARS,Pad 0A,Zenit,Antares 120,Wallops MARS,,US,United States,2014
S39513,39513,2014-003,1998-067DH,P    D      ,Flock 1-04,Dove 073C,2014-01-09,A08077*,2014-02-11,Earth,2014-06-09,R,-,PLABS,US,PLABS,Cubesat 3U,-,4.25, ,4.25, ,4.25, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2014-02-11,382.0, ,429.0, ,51.69, ,LLEO/I,-,JSPOC Flock 1-01,LEO,United States,Flock 1-1,Flock-1/I,B,IMG,-,S,-,Observation,Antares 120,OSC,MARS,Pad 0A,Zenit,Antares 120,Wallops MARS,,US,United States,2014
S39514,39514,2014-003,1998-067DJ,P    D      ,Flock 1-01,Dove 073D,2014-01-09,A08077*,2014-02-11,Earth,2014-05-25,R,-,PLABS,US,PLABS,Cubesat 3U,-,4.25, ,4.25, ,4.25, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2014-02-12,410.0, ,417.0, ,51.64, ,LLEO/I,-,JSPOC Flock 1-02,LEO,United States,Flock 1-2,Flock-1/I,B,IMG,-,S,-,Observation,Antares 120,OSC,MARS,Pad 0A,Zenit,Antares 120,Wallops MARS,,US,United States,2014
S39515,39515,2014-003,1998-067DK,P    D      ,Flock 1-02,Dove 0740,2014-01-09,A08077*,2014-02-11,Earth,2014-06-18,R,-,PLABS,US,PLABS,Cubesat 3U,-,4.25, ,4.25, ,4.25, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2014-02-12,409.0, ,418.0, ,51.65, ,LLEO/I,-,JSPOC Flock 1-04,LEO,United States,Flock 1-4,Flock-1/I,B,IMG,-,S,-,Observation,Antares 120,OSC,MARS,Pad 0A,Zenit,Antares 120,Wallops MARS,,US,United States,2014
S39518,39518,2014-003,1998-067DL,P    D      ,Flock 1-05,Dove 072C,2014-01-09,A08077*,2014-02-13,Earth,2014-06-02,R,-,PLABS,US,PLABS,Cubesat 3U,-,4.25, ,4.25, ,4.25, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2014-02-13,409.0, ,421.0, ,51.64, ,LLEO/I,-,Flock 1-05,LEO,United States,Flock 1-5,Flock-1/I,B,IMG,-,S,-,Observation,Antares 120,OSC,MARS,Pad 0A,Zenit,Antares 120,Wallops MARS,,US,United States,2014
S39519,39519,2014-003,1998-067DM,P    D      ,Flock 1-06,Dove 0735,2014-01-09,A08077*,2014-02-13,Earth,2014-06-15,R,-,PLABS,US,PLABS,Cubesat 3U,-,4.25, ,4.25, ,4.25, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2014-02-13,408.0, ,416.0, ,51.65, ,LLEO/I,-,Flock 1-06,LEO,United States,Flock 1-6,Flock-1/I,B,IMG,-,S,-,Observation,Antares 120,OSC,MARS,Pad 0A,Zenit,Antares 120,Wallops MARS,,US,United States,2014
S39520,39520,2014-003,1998-067DN,P    D      ,Flock 1-11,Dove 074D,2014-01-09,A08077*,2014-02-12,Earth,2014-06-06,R,-,PLABS,US,PLABS,Cubesat 3U,-,4.25, ,4.25, ,4.25, ,0.3, ,0.1, ,0.3, ,Box+2 pan,2014-02-14,409.0, ,418.0, ,51.65, ,LLEO/I,-,Flock 1-11,LEO,United States,Flock 1-7,Flock-1/I,B,IMG,-,S,-,Observation,Antares 120,OSC,MARS,Pad 0A,Zenit,Antares 120,Wallops MARS,,US,United States,2014
