Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2017-F02,2457898.68,2017-05-25,Electron,-,1,It's A Test,-,-,-,MAHIA,LC1A,-,-,, ,    -, ,-,0.02,RLABN,OF,AD,C,Sat LEO OO,twitter.com,-,Erroneous RSO,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,,,,,,,,Commercial
2018-010,2458139.57,2018-01-21,Electron,-,2,Still Testing,Electron 02 Rideshare,Dove/Lemurs,-,MAHIA,LC1A,-,-,533.0, ,    -, ,-,0.022,RLABN,OS,-,C,Sat LEO OO,twitter.com,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,22.2,2018-01-21,288.0,82.93,LLEO/I,Observation,B,Commercial
2018-088,2458433.66,2018-11-11,Electron,-,3,It's Business Time,Electron 03 Rideshare,CICERO 10/Lemurs,-,MAHIA,LC1A,-,-,515.0, ,    -, ,-,0.125,RLABN,OS,-,C,Sat LEO OO,twitter.com,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,25.2,2018-11-12,490.0,85.04,LLEO/P,MET-RO,B,Commercial
2018-104,2458468.77,2018-12-16,Electron,-,4,This One's For Pickering,Electron 04 Rideshare,Elana XIX,-,MAHIA,LC1A,-,-,512.0, ,    -, ,-,0.052,RLABN,OS,-,C/G,Sat LEO OO,twitter.com,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,49.66,2018-12-18,492.0,85.04,LLEO/P,Observation,D,Military
2019-016,2458571.48,2019-03-28,Electron,-,5,Two Thumbs Up,R3D2,-,-,MAHIA,LC1A,-,-,437.0, ,    -, ,-,0.16,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,160.0,2019-03-31,422.0,39.52,LLEO/I,Tech Demo,D,Military
2019-026,2458608.75,2019-05-05,Electron,-,6,T.A.Funny Looking Cactus,STP 27RD,Harbinger,-,MAHIA,LC1A,-,-,511.0, ,    -, ,-,0.161,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,161.0,2019-05-06,498.0,40.01,LLEO/I,Tech Demo,D,Military
2019-037,2458663.69,2019-06-29,Electron,-,7,Make It Rain,BlackSky Global 3,-,-,MAHIA,LC1A,-,-,460.0, ,    -, ,-,0.066,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,66.0,2019-07-01,447.0,45.01,LLEO/I,Tech Demo,D,Military
2019-054,2458715.01,2019-08-19,Electron,-,8,Look Ma No Hands,BlackSky Global 4,-,-,MAHIA,LC1A,-,-,550.0, ,    -, ,-,0.085,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,85.0,2019-08-21,536.0,45.01,LLEO/I,Observation,B,Commercial
2019-069,2458773.56,2019-10-17,Electron,-,9,As The Crow Flies,Palisade,-,-,MAHIA,LC1A,-,-,1224.0, ,    -, ,-,0.04,RLABN,OS,-,C,Sat LEO OL,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,40.0,2019-10-19,1207.0,87.9,LEO/P,Observation,B,Commercial
2019-084,2458823.85,2019-12-06,Electron,-,10,Running out of Fingers,Electron 10 Rideshare,ALE-2,-,MAHIA,LC1A,-,-,414.0, ,    -, ,-,0.08,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,77.75,2019-12-07,397.0,97.01,LLEO/S,Tech Demo,B,Commercial
2020-007,2458879.62,2020-01-31,Electron,-,11,Birds of a Feather,NROL-151,NROL-151,-,MAHIA,LC1A,-,-,588.0, ,    -, ,-,0.15,RLABN,OS,-,C/G,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,150.0,2020-02-01,586.0,70.0,LLEO/I,TECH?,D,Military
2020-037,2459013.72,2020-06-13,Electron,-,12,Don't Stop Me Now,NRO/ANDESITE/M2PF,-,-,MAHIA,LC1A,-,-,600.0, ,    -, ,-,0.213,RLABN,OS,-,C/G,Sat SSO OO,Wire,-,-,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,156.5,2020-06-20,585.0,97.7,LLEO/S,SIG?*,D,Military
2020-F05,2459035.39,2020-07-04,Electron,-,13,Pics or It Didn't Happen,Electron 13 Rideshare,CESAT-1B/Flock 4e,-,MAHIA,LC1A,-,-,, ,    -, ,-,0.103,RLABN,OF,S2E,C,Sat SSO OO,Wire,-,Hotswap failed,SSO,Electron,Electron,NZ,New Zealand,RLLC1,,,,,,,,,Commercial
2020-060,2459092.63,2020-08-31,Electron,-,14,I Can't Believe It's..,Sequoia,-,-,MAHIA,LC1A,-,-,546.0, ,    -, ,-,0.15,RLABN,OS,-,C,Sat LEO OO,Wire,-,-,LEO,Electron,Electron,NZ,New Zealand,RLLC1,,120.0,2020-08-31,530.0,45.1,LLEO/I,Tech Demo,B,Commercial
