Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
1957 ALP,2436116.31,1957-10-04,Sputnik 8K71PS,-,M1-PS,PS-1,PS-1,-,-,NIIP-5,LC1,-,-,938.0, ,    -, ,-,0.084,MVS,OS,-,G,Sat LEO O 1,Energiya,SFLT39-331,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,84.0,1957-10-04,214.0,65.1,LLEO/I,Tech Demo,C,Eastern Government
1957 BET,2436145.6,1957-11-03,Sputnik 8K71PS,-,M1-2PS,PS-2,PS-2,-,-,NIIP-5,LC1,-,-,1659.0, ,    -, ,-,8.308,MVS,OS,-,G,Sat LEO A 1,Grahn-WWW,Energiya,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,508.0,1957-11-03,211.0,65.33,LEO/I,Science,C,Eastern Government
1958-F03,2436320.88,1958-04-27,Sputnik 8A91,-,B1-2,ISZ D-1 No. 1,D-1 No. 1,-,-,NIIP-5,LC1,-,-,,?,    -, ,-,1.327,MVS,OF,S1P,G,Sat LEO O 3,NezavB,SFLT39-331,Resonance oscillations,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1958 DEL,2436338.79,1958-05-15,Sputnik 8A91,-,B1-1,ISZ D-1 No. 2,D-1 No. 2,-,-,NIIP-5,LC1,-,-,1247.0, ,    -, ,-,1.327,MVS,OS,-,G,Sat LEO O 3,NezavB,Energiya,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,1327.0,1959-05-07,207.0,65.12,LEO/I,Science,C,Eastern Government
1958-F15,2436469.82,1958-09-23,Vostok-L 8K72,-,B1-3,Luna,E-1 No. 1,-,-,NIIP-5,LC1,-,-,,?,    -, ,-,0.17,MVS,OF,S1P,G,Sat EEO E,AK15,Energiya,Resonance vibrations,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1958-F17,2436488.4,1958-10-11,Vostok-L 8K72,-,B1-4,Luna,E-1 No. 2,-,-,NIIP-5,LC1,-,-,,?,    -, ,-,0.17,MVS,OF,S1P,G,Sat EEO E,AK15,Energiya,Resonance vibrations,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1958-F20,2436542.26,1958-12-04,Vostok-L 8K72,-,B1-5,Luna,E-1 No. 3,-,-,NIIP-5,LC1,-,-,,?,    -, ,-,0.17,MVS,OF,S2P,G,Sat EEO E,AK15,Energiya,Core lost thrust,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1959 MU,2436571.2,1959-01-02,Vostok-L 8K72,-,B1-6,Luna-1,E-1 No. 4,-,-,NIIP-5,LC1,-,-,-242160.0, ,    -, ,-,0.205,MVS,DS,-,G,Sat EEO E,Energiya,-,-,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,205.0,1959-01-04,-370.0,65.0,EEO,Other,C,Eastern Government
1959-F06,2436737.84,1959-06-18,Vostok-L 8K72,-,I1-7,Luna,E-1 No. 5,-,-,NIIP-5,LC1,-,-,,?,    -, ,-,0.17,MVS,OF,S2G,G,Sat EEO E,NezavB,Energiya,Gyro failure,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1959 XI,2436823.78,1959-09-12,Vostok-L 8K72,-,I1-7B,Luna-2,E-1 No. 6,-,-,NIIP-5,LC1,-,-,-354774.0, ,    -, ,-,0.205,MVS,DS,-,G,Sat EEO E,JBIS51-231,Energiya,-,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,205.0,1959-09-12,-371.0,65.3,EEO,Other,C,Eastern Government
1959 THE,2436845.53,1959-10-04,Vostok-L 8K72,-,I1-8,Luna-3,E-2A,-,-,NIIP-5,LC1,-,-,516120.0, ,    -, ,-,0.278,MVS,DS,-,G,Sat EEO E,NezavB,-,-,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,278.0,1959-10-05,-630.0,65.0,CLO,Other,C,Eastern Government
1960-U01,2437040.13,1960-04-15,Vostok-L 8K72,-,L1-9/I-19AMS,-,E-3 No. 1,-,-,NIIP-5,LC1,-,-,, ,    -, ,-,0.28,RVSN,OF,S3U,G,Sat EEO E,NezavB,-,Early cutoff,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1960-F06,2437041.17,1960-04-16,Vostok-L 8K72,-,L1-9A,-,E-3 No. 2,-,-,NIIP-5,LC1,-,-,, ,    -, ,-,0.28,RVSN,OF,S1I,G,Sat EEO E,NezavB,-,Blok B ft ignite,BEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1960 EPS,2437069.5,1960-05-15,Vostok 8K72,-,L1-11,Korabl'-Sputnik,Vostok-1P,-,-,NIIP-5,LC1,-,-,674.0, ,    -, ,-,7.1,RVSN,OS,-,G,Sat LEO O,VSA074,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1960-06-20,277.0,64.89,LLEO/I,Other,C,Eastern Government
1960-F09,2437143.9,1960-07-28,Vostok 8K72,-,L1-10,-,Vostok-1 No. 1,-,-,NIIP-5,LC1,-,-,,?,    -, ,-,4.7,RVSN,OF,S1P,G,Sat LEO O,NezavB,-,Fail T+19s,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1960 LAM,2437165.86,1960-08-19,Vostok 8K72,-,L1-12,Korabl'-Sputnik-2,Vostok-1 No. 2,-,-,NIIP-5,LC1,-,-,307.0, ,    -, ,-,4.58,RVSN,OS,-,G,Sat LEO O,NezavB,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1960-08-19,307.0,64.9,LLEO/I,Other,C,Eastern Government
1960 RHO,2437269.81,1960-12-01,Vostok 8K72,-,L1-13,Korabl'-Sputnik-3,Vostok-1 No. 3,-,-,NIIP-5,LC1,-,-,237.0, ,    -, ,-,4.58,RVSN,OS,-,G,Sat LEO O,NezavB,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1960-12-01,171.0,65.0,LLEO/I,Other,C,Eastern Government
1960-F19,2437290.82,1960-12-22,Vostok 8K72,K,L1-13A,-,Vostok-1 No. 4,-,-,NIIP-5,LC1,-,-,, ,    -, ,-,4.7,RVSN,OF,S3P,G,Sat LEO O,NezavB,-,Gas generator,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1961 THE,2437367.77,1961-03-09,Vostok 8K72,K,E103-14,Korabl'-Sputnik-4,Vostok-3 No. 1,-,-,NIIP-5,LC1,-,-,239.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,NezavB,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1961-03-09,173.0,64.93,LLEO/I,Other,C,Eastern Government
1961 IOT,2437383.75,1961-03-25,Vostok 8K72,K,E103-15,Korabl'-Sputnik-5,Vostok-3 No. 2,-,-,NIIP-5,LC1,-,-,229.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,NezavB,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1961-03-25,163.0,64.9,LLEO/I,Other,C,Eastern Government
1961 MU,2437401.75,1961-04-12,Vostok 8K72,K,E103-16,Vostok,Vostok-3A No. 3,-,-,NIIP-5,LC1,-,-,314.0, ,    -, ,-,4.725,RVSN,OS,-,G,Sat LEO O,Energiya,VSA074,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2125.0,1961-04-12,168.0,64.95,LLEO/I,Other,C,Eastern Government
1961 TAU,2437517.75,1961-08-06,Vostok 8K72,K,E103-17,Vostok-2,Vostok-3A No. 4,-,-,NIIP-5,LC1,-,-,218.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,VSA074,VSA074,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1961-08-06,172.0,64.87,LLEO/I,Other,C,Eastern Government
1961-F14,2437644.9,1961-12-11,Vostok 8K72,K,E103-21,-,Zenit-2 No. 1,-,-,NIIP-5,LC1,-,-,,?,    -, ,-,4.7,RVSN,OF,S3P,G,Sat LEO O,NK96-10-65,-,Early shutdown,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1962 XI,2437780.92,1962-04-26,Vostok 8K72,K,E103-20,Kosmos-4,Zenit-2 No. 2,-,-,NIIP-5,LC1,-,-,330.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,NK96-10-65,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1962-04-26,298.0,65.0,LLEO/I,Observation,D,Eastern Military
1962-F06,2437816.9,1962-06-01,Vostok 8A92,-,E 15000- 01,-,Zenit-2 No. 3,-,-,NIIP-5,LC1,-,-,, ,    -, ,-,4.7,RVSN,OF,S1P,G,Sat LEO O,NK96-10-65,-,Blok-B failed,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,,,,,,,,Eastern Government
1962 A IOT,2437873.89,1962-07-28,Vostok 8A92,-,T 15000- 07,Kosmos-7,Zenit-2 No. 4,-,-,NIIP-5,LC1,-,-,352.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,NK96-10-65,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1962-07-30,200.0,64.95,LLEO/I,Observation,D,Eastern Military
1962 A MU,2437887.85,1962-08-11,Vostok 8K72,K,E103-23,Vostok-3,Vostok-3A No. 5,-,-,NIIP-5,LC1,-,-,200.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,VSA074,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1962-08-14,158.0,64.96,LLEO/I,Other,C,Eastern Government
1962 A NU,2437888.83,1962-08-12,Vostok 8K72,K,E103-22,Vostok-4,Vostok-3A No. 6,-,-,NIIP-5,LC1,-,-,221.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,VSA074,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1962-08-12,168.0,64.95,LLEO/I,Other,C,Eastern Government
1962 A OME,2437934.9,1962-09-27,Vostok 8A92,-,T 15000- 06,Kosmos-9,Zenit-2 No. 7,-,-,NIIP-5,LC1,-,-,339.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,NK96-10-65,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1962-09-29,297.0,64.99,LLEO/I,Observation,D,Eastern Military
1962 B ZET,2437954.88,1962-10-17,Vostok 8A92,-,T 15000- 03,Kosmos-10,Zenit-2 No. 5,-,-,NIIP-5,LC1,-,-,368.0, ,    -, ,-,4.7,RVSN,OS,-,G,Sat LEO O,NK96-10-65,-,-,LEO,R-7,Soyuz,SU,Soviet Union,NIIP5,,2100.0,1962-10-17,196.0,65.0,LLEO/I,Observation,D,Eastern Military
