Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type
2019-029,2458627.6,2019-05-24,Falcon 9,FT5,073/B1049.3  F072,Starlink-1,Starlink V0.9,V0.9 (60),-,CC,LC40,-,-,442.0, ,    -, ,-,14.02,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,13620.0,2019-05-26,433.0,53.0,LLEO/I,Communications,B,Starlink
2019-074,2458799.12,2019-11-11,Falcon 9,FT5,077/B1048.4  F076,Starlink-2,Starlink V1.0-L1,L1  (60),-,CC,LC40,-,-,300.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2019-11-14,298.0,53.01,LLEO/I,Communications,B,Starlink
2020-001,2458855.6,2020-01-07,Falcon 9,FT5,079/B1049.4  F079,Starlink-3,Starlink V1.0-L2,L2  (60),-,CC,LC40,-,-,297.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2020-01-11,292.0,53.0,LLEO/I,Communications,B,Starlink
2020-006,2458878.09,2020-01-29,Falcon 9,FT5,082/B1051.3  F081,Starlink-4,Starlink V1.0-L3,L3  (60),-,CC,LC40,-,-,300.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2020-02-01,300.0,53.0,LLEO/I,Communications,B,Starlink
2020-012,2458897.13,2020-02-17,Falcon 9,FT5,083/B1056.4  F082,Starlink-5,Starlink V1.0-L4,L4  (60),-,CC,LC40,-,-,380.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO O 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2020-02-24,291.0,53.0,LLEO/I,Communications,B,Starlink
2020-019,2458927.01,2020-03-18,Falcon 9,FT5,084/B1048.5  F084,Starlink-6,Starlink V1.0-L5,L5  (60),-,KSC,LC39A,-,-,338.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2020-03-26,216.0,53.0,LLEO/I,Communications,B,Starlink
2020-025,2458962.31,2020-04-22,Falcon 9,FT5,086/B1051.4  F085,Starlink-7,Starlink V1.0-L6,L6  (60),-,KSC,LC39A,-,-,354.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",15600.0,2020-04-24,229.0,53.01,LLEO/I,Communications,B,Starlink
2020-035,2459004.56,2020-06-04,Falcon 9,FT5,088/B1049.5  F087,Starlink-8,Starlink V1.0-L7,L7  (60),-,CC,LC40,-,-,355.0, ,    -, ,-,16.0,SPX,OS,-,C,Sat LEO D 4,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15600.0,2020-06-11,217.0,53.0,LLEO/I,Communications,B,Starlink
2020-038,2459013.89,2020-06-13,Falcon 9,FT5,090/B1059.3  F088,Starlink-9,Starlink V1.0-L8/SkySat,L8  (58),-,CC,LC40,-,-,362.0, ,    -, ,-,15.82,SPX,OS,-,C,Sat LEO D 5,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,CC,Canaveral,15410.0,2020-06-20,257.0,53.0,LLEO/I,Communications,B,Starlink
2020-055,2459068.72,2020-08-07,Falcon 9,FT5,091/B1051.5  F091,Starlink-10,Starlink V1.0-L9/BSky,L9  (57),-,KSC,LC39A,-,-,422.0, ,    -, ,-,15.335,SPX,OS,-,C,Sat LEO D 5,Wire,-,-,LEO,Falcon9,Falcon 9,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",14930.0,2020-08-11,415.0,53.01,LLEO/I,Communications,B,Starlink
