Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,V2_Payload_Category,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,Launch_Month
1942-A01,2430523.95,1942-06-13,A-4,-,2,-,-,-,-,HVP,P7,-,-,1.0, ,    -, ,-,0.0,WEHR,MF,U,-,Test,TTaylor,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23310
1942-A02,2430587.97,1942-08-16,A-4,-,3,-,-,-,-,HVP,P7,-,-,11.0, ,    -, ,-,0.0,WEHR,MF,U,-,Test,Stuhlinger,RocketTeam,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23312
1942-S01,2430636.12,1942-10-03,A-4,-,4,-,-,-,-,HVP,P7,-,-,85.0, ,    -, ,-,0.0,WEHR,MS,-,-,Test,Stuhlinger,AE1961A,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23314
1942-A03,2430653.5,1942-10-21,A-4,-,5,-,-,-,-,HVP,P7,-,-,40.0,?,    -, ,-,0.0,WEHR,MS,-,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23314
1942-M01,2430672.5,1942-11-09,A-4,-,6,-,-,-,-,HVP,P7,-,-,67.0, ,    -, ,-,0.0,WEHR,MS,-,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23315
1942-A04,2430691.5,1942-11-28,A-4,-,7,-,-,-,-,HVP,P7,-,-,5.0,?,    -, ,-,0.0,WEHR,MF,U,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23315
1942-A05,2430705.5,1942-12-12,A-4,-,9,-,-,-,-,HVP,P7,-,-,0.0, ,    -, ,-,0.0,WEHR,MF,U,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23316
1943-A01,2430731.5,1943-01-07,A-4,-,10,-,-,-,-,HVP,P7,-,-,0.0, ,    -, ,-,0.0,WEHR,MF,U,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23317
1943-A02,2430749.5,1943-01-25,A-4,-,11,-,-,-,-,HVP,P7,-,-,40.0,?,    -, ,-,0.0,WEHR,MF,U,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23317
1943-A03,2430772.5,1943-02-17,A-4,-,12,-,-,-,-,HVP,P7,-,-,30.0,?,    -, ,-,0.0,WEHR,MS,-,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23318
1943-A04,2430774.5,1943-02-19,A-4,-,13,-,-,-,-,HVP,P7,-,-,1.0,?,    -, ,-,0.0,WEHR,MF,U,-,Test,AE1961A,-,-,,Test,V-2,A-4,DR,German Reich,Peenemunde,,,,,,,,,Unknown,23318
