Launch_Tag,Launch_Date,Launch_Vehicle_Simplified,Mission,Payload_Mass,Launch_Category,Mass_Bin
2020-005,2020-01-16,Ariane 5,Eutelsat Konnect/GSAT-30,3357.0,Government non-LEO,3-4t
2020-007,2020-01-31,Electron,NROL-151,150.0,Military LEO,0-1t
2020-009,2020-02-09,H2,IGS O-7,1500.0,Military LEO,1-2t
2020-010,2020-02-10,Atlas 5,Solar Orbiter,1800.0,Government non-LEO,1-2t
2020-011,2020-02-15,Antares 230+,Cygnus NG-13,120.0,Military LEO,0-1t
2020-013,2020-02-18,Ariane 5,JCSAT-17/GEO-Kompsat 2B,3379.0,Government non-LEO,3-4t
2020-016,2020-03-07,Falcon 9,Dragon C112.3,1.0,Government LEO,0-1t
2020-022,2020-03-26,Atlas 5,AEHF 6,6220.0,Military non-LEO,6-7t
2020-029,2020-05-17,Atlas 5,X-37B No. 1?,5280.0,Military LEO,5-6t
2020-030,2020-05-20,H2,HTV 9,6225.0,ISS,6-7t
2020-037,2020-06-13,Electron,NRO/ANDESITE/M2PF,156.5,Military LEO,0-1t
2020-041,2020-06-30,Falcon 9,GPS III SV-03,4400.0,Military non-LEO,4-5t
2020-044,2020-07-06,Shavit,'Ofeq-16,300.0,Military LEO,0-1t
2020-046,2020-07-15,Minotaur 4,NROL-129,1000.0,Military LEO,0-1t
2020-047,2020-07-19,H2,Hope Probe,1350.0,Government non-LEO,1-2t
2020-048,2020-07-20,Falcon 9,ANASIS-2,5600.0,Military non-LEO,5-6t
2020-052,2020-07-30,Atlas 5,Perseverance,1025.0,Government non-LEO,1-2t
2020-059,2020-08-30,Falcon 9,SAOCOM-1B,3050.0,Government LEO,3-4t
2020-061,2020-09-03,Vega,SSMS,155.0,Government LEO,0-1t
2020-069,2020-10-03,Antares 230+,Cygnus NG-14,18.6,Military LEO,0-1t
2020-078,2020-11-05,Falcon 9,GPS III SV-04,4400.0,Military non-LEO,4-5t
2020-081,2020-11-07,PSLV,PSLV Rideshare 17,628.0,Government LEO,0-1t
2020-083,2020-11-13,Atlas 5,TOPAZ?,7000.0,Military non-LEO,6-7t
2020-085,2020-11-20,Electron,Electron 16 Rideshare,1.0,Government LEO,0-1t
2020-086,2020-11-21,Falcon 9,Sentinel-6,1192.0,Government LEO,1-2t
2020-089,2020-11-29,H2,Deta Chukei Eisei 1,3800.0,Military non-LEO,3-4t
2020-090,2020-12-02,Soyuz,FalconEye 2,1197.0,Military LEO,1-2t
2020-095,2020-12-11,Delta 4H,ORION 10?,5000.0,Military non-LEO,4-5t
2020-099,2020-12-17,PSLV,GSAT-12R,1410.0,Government non-LEO,1-2t
2020-101,2020-12-19,Falcon 9,NROL-108,4000.0,Military LEO,3-4t
2020-104,2020-12-29,Soyuz,CSO 2,3562.0,Military LEO,3-4t
2021-002,2021-01-17,LauncherOne,-,30.0,Government LEO,0-1t
2021-006,2021-01-24,Falcon 9,Transporter-1,31.1,Government LEO,0-1t
2021-013,2021-02-20,Antares 230+,Cygnus NG-15,76.768,Government LEO,0-1t
2021-015,2021-02-28,PSLV,PSLV Rideshare 18,653.75,Government LEO,0-1t
2021-023,2021-03-22,Electron,Global-5/Pathstone,24.0,Government LEO,0-1t
2021-032,2021-04-26,Delta 4H,Improved CRYSTAL?,20000.0,Military LEO,19-20t
2021-034,2021-04-29,Vega,Pleiades-Neo 3,920.0,Government LEO,0-1t
2021-042,2021-05-18,Atlas 5,SBIRS GEO-5,4540.0,Military non-LEO,4-5t
2021-048,2021-06-03,Falcon 9,Dragon C209,7.0,Government LEO,0-1t
2021-051,2021-06-13,Pegasus,TacRL-2,250.0,Military LEO,0-1t
2021-052,2021-06-15,Minotaur 1,NROL-111,450.0,Military LEO,0-1t
2021-054,2021-06-17,Falcon 9,GPS III SV05,4400.0,Military non-LEO,4-5t
2021-058,2021-06-30,LauncherOne,Tubular Bells I,26.0,Military LEO,0-1t
2021-059,2021-06-30,Falcon 9,Transporter-2,131.0,Military LEO,0-1t
2021-068,2021-07-29,Electron,Monolith,20.0,Military LEO,0-1t
2021-073,2021-08-17,Vega,Pleiades-Neo 4,927.0,Government LEO,0-1t
2021-078,2021-08-29,Falcon 9,Dragon C208.2,17.54,Government LEO,0-1t
2021-088,2021-09-27,Atlas 5,Landsat 9,2730.0,Government LEO,2-3t
2021-093,2021-10-16,Atlas 5,Lucy,1550.0,Government non-LEO,1-2t
2021-095,2021-10-24,Ariane 5,SES-17/Syracuse 4A,3852.0,Military non-LEO,3-4t
2021-096,2021-10-26,H2,QZSS 1R,4020.0,Government non-LEO,4-5t
2021-102,2021-11-09,Epsilon,-,229.0,Government LEO,0-1t
2021-105,2021-11-16,Vega,CERES 1-3,1338.0,Military LEO,1-2t
2021-108,2021-11-20,Astra Rocket 3,STP-27AD2,1.0,Military LEO,0-1t
2021-110,2021-11-24,Falcon 9,DART,610.0,Government non-LEO,0-1t
2021-116,2021-12-05,Soyuz,GalileoSat-27/28,1466.0,Government non-LEO,1-2t
2021-118,2021-12-07,Atlas 5,STPSAT-6/LDPE-1,1525.0,Military non-LEO,1-2t
2021-121,2021-12-09,Falcon 9,IXPE,330.0,Government LEO,0-1t
2021-127,2021-12-21,Falcon 9,Dragon C209.2,24.5,Military LEO,0-1t
2021-130,2021-12-25,Ariane 5,JWST,6161.0,Government non-LEO,6-7t
2022-002,2022-01-13,Falcon 9,Transporter-3,1416.75,Military LEO,1-2t
2022-003,2022-01-13,LauncherOne,Above The Clouds,18.0,Government LEO,0-1t
2022-006,2022-01-21,Atlas 5,GSSAP 5/6,1000.0,Military LEO,0-1t
2022-008,2022-01-31,Falcon 9,COSMO-Skymed SG FM2,2205.0,Military LEO,2-3t
2022-009,2022-02-02,Falcon 9,CRYSTAL Block 5?,10000.0,Military LEO,9-10t
2022-013,2022-02-14,PSLV,RISAT-1A,1735.6,Government LEO,1-2t
2022-015,2022-02-19,Antares 230+,Cygnus NG-17,16.0,Government LEO,0-1t
2022-021,2022-03-01,Atlas 5,GOES T,5209.0,Government non-LEO,5-6t
2022-026,2022-03-15,Astra Rocket 3,Spaceflight Astra 1,1.0,Government LEO,0-1t
2022-033,2022-04-01,Falcon 9,Transporter-4,940.0,Government LEO,0-1t
2022-040,2022-04-17,Falcon 9,INTRUDER,1000.0,Military LEO,0-1t
2022-057,2022-05-25,Falcon 9,Transporter-5,211.8,Military LEO,0-1t
2022-061,2022-06-08,Falcon 9,Nilesat 301,3938.0,Government non-LEO,3-4t
2022-063,2022-06-18,Falcon 9,SARah-1,4000.0,Military LEO,3-4t
2022-064,2022-06-19,Falcon 9,Globalstar FM15,1200.0,Military LEO,1-2t
2022-065,2022-06-21,Nuri,-,1485.0,Government LEO,1-2t
2022-072,2022-06-30,PSLV,DS-EO/POEM,573.0,Military LEO,0-1t
2022-073,2022-07-01,Atlas 5,WFOV,3600.0,Military non-LEO,3-4t
2022-074,2022-07-02,LauncherOne,Straight Up,78.4,Military LEO,0-1t
2022-080,2022-07-13,Vega,LARES 2,309.0,Government non-LEO,0-1t
2022-079,2022-07-13,Electron,NROL-162,100.0,Military LEO,0-1t
2022-081,2022-07-15,Falcon 9,Dragon C208.3,18.0,Government LEO,0-1t
2022-091,2022-08-04,Electron,NROL-199,100.0,Military LEO,0-1t
2022-092,2022-08-04,Atlas 5,SBIRS GEO-6,4500.0,Military non-LEO,4-5t
2022-094,2022-08-04,Falcon 9,KPLO,678.0,Government non-LEO,0-1t
2022-117,2022-09-24,Delta 4H,Improved CRYSTAL?,20000.0,Military LEO,19-20t
2022-122,2022-10-01,Firefly Alpha,-,7.75,Government LEO,0-1t
2022-144,2022-11-01,Falcon Heavy,LDPE-2,2200.0,Military non-LEO,2-3t
2022-147,2022-11-04,Electron,MATS,54.0,Government LEO,0-1t
2022-149,2022-11-07,Antares 230+,Cygnus NG-18,5.0,Government LEO,0-1t
2022-150,2022-11-10,Atlas 5,JPSS-2/LOFTID,2930.0,Government LEO,2-3t
2022-156,2022-11-16,SLS,-,10387.0,Government non-LEO,10-11t
2022-158,2022-11-26,PSLV,PSLV Rideshare 19,1135.0,Government LEO,1-2t
2022-159,2022-11-26,Falcon 9,Dragon C211,33.6,Government LEO,0-1t
2022-168,2022-12-11,Falcon 9,Hakuto-R M1,14.0,Government non-LEO,0-1t
2022-170,2022-12-13,Ariane 5,Galaxy 35/36/MTG-I1,3760.0,Government non-LEO,3-4t
2022-173,2022-12-16,Falcon 9,SWOT,2200.0,Government LEO,2-3t
2023-001,2023-01-03,Falcon 9,Transporter-6,34.172,Government LEO,0-1t
2023-008,2023-01-15,Falcon Heavy,CBAS-2/LDPE-3A,3700.0,Military non-LEO,3-4t
2023-009,2023-01-18,Falcon 9,GPS III SV06,4352.0,Military non-LEO,4-5t
2023-012,2023-01-26,H2,IGS R-7,1500.0,Military LEO,1-2t
2023-019,2023-02-10,SSLV,EOS-07,165.0,Government LEO,0-1t
2023-033,2023-03-15,Falcon 9,Dragon C209.3,10.0,Government LEO,0-1t
2023-044,2023-03-28,Shavit,'Ofeq-13,300.0,Military LEO,0-1t
2023-050,2023-04-02,Falcon 9,SDA-0A,4000.0,Military LEO,3-4t
2023-053,2023-04-14,Ariane 5,JUICE,5963.0,Government non-LEO,5-6t
2023-054,2023-04-15,Falcon 9,Transporter-7,893.1,Government LEO,0-1t
2023-057,2023-04-22,PSLV,TeLEOS-2,66.0,Government LEO,0-1t
2023-062,2023-05-08,Electron,Tropics SV05/SV06,8.0,Government LEO,0-1t
2023-072,2023-05-25,Nuri,-,210.0,Government LEO,0-1t
2023-073,2023-05-26,Electron,Tropics SV03/SV07,8.0,Government LEO,0-1t
2023-076,2023-05-29,GSLV,IRNSS-1J,2232.0,Government non-LEO,2-3t
2023-080,2023-06-05,Falcon 9,Dragon C208.4,22.0,Government LEO,0-1t
2023-084,2023-06-12,Falcon 9,Transporter-8,858.75,Military LEO,0-1t
2023-089,2023-06-22,Delta 4H,ORION 11?,5000.0,Military non-LEO,4-5t
