Launch_Tag,Launch_Date,Launch_Vehicle_Simplified,Mission,Payload_Mass,Launch_Category,Mass_Bin
2020-001,2020-01-07,Falcon 9,Starlink V1.0-L2,15600.0,LEO,15-16t
2020-005,2020-01-16,Ariane 5,Eutelsat Konnect/GSAT-30,6976.0,GEO,6-7t
2020-006,2020-01-29,Falcon 9,Starlink V1.0-L3,15600.0,LEO,15-16t
2020-007,2020-01-31,Electron,NROL-151,150.0,LEO,0-1t
2020-009,2020-02-09,H2,IGS O-7,1500.0,LEO,1-2t
2020-010,2020-02-10,Atlas 5,Solar Orbiter,1800.0,BEO,1-2t
2020-011,2020-02-15,Antares 230+,Cygnus NG-13,8120.0,LEO,8-9t
2020-012,2020-02-17,Falcon 9,Starlink V1.0-L4,15600.0,LEO,15-16t
2020-013,2020-02-18,Ariane 5,JCSAT-17/GEO-Kompsat 2B,9236.0,GEO,9-10t
2020-016,2020-03-07,Falcon 9,Dragon C112.3,10012.0,LEO,10-11t
2020-019,2020-03-18,Falcon 9,Starlink V1.0-L5,15600.0,LEO,15-16t
2020-022,2020-03-26,Atlas 5,AEHF 6,6220.0,GEO,6-7t
2020-025,2020-04-22,Falcon 9,Starlink V1.0-L6,15600.0,LEO,15-16t
2020-029,2020-05-17,Atlas 5,X-37B No. 1?,5280.0,LEO,5-6t
2020-030,2020-05-20,H2,HTV 9,6225.0,LEO,6-7t
2020-033,2020-05-30,Falcon 9,Dragon C206,13055.0,LEO,13-14t
2020-035,2020-06-04,Falcon 9,Starlink V1.0-L7,15600.0,LEO,15-16t
2020-037,2020-06-13,Electron,NRO/ANDESITE/M2PF,156.5,LEO,0-1t
2020-038,2020-06-13,Falcon 9,Starlink V1.0-L8/SkySat,15410.0,LEO,15-16t
2020-041,2020-06-30,Falcon 9,GPS III SV-03,4400.0,MEO,4-5t
2020-044,2020-07-06,Shavit,'Ofeq-16,300.0,LEO,0-1t
2020-046,2020-07-15,Minotaur 4,NROL-129,1000.0,LEO,0-1t
2020-047,2020-07-19,H2,Hope Probe,1350.0,HEO,1-2t
2020-048,2020-07-20,Falcon 9,ANASIS-2,5600.0,GEO,5-6t
2020-052,2020-07-30,Atlas 5,Perseverance,1025.0,BEO,1-2t
2020-055,2020-08-07,Falcon 9,Starlink V1.0-L9/BSky,14930.0,LEO,14-15t
2020-056,2020-08-15,Ariane 5,Galaxy 30/MEV2/BSAT-4b,9154.0,GEO,9-10t
2020-057,2020-08-18,Falcon 9,Starlink V1.0-L10/SkySat,15410.0,LEO,15-16t
2020-059,2020-08-30,Falcon 9,SAOCOM-1B,3091.0,LEO,3-4t
2020-060,2020-08-31,Electron,Sequoia,120.0,LEO,0-1t
2020-061,2020-09-03,Vega,SSMS,832.208,LEO,0-1t
2020-062,2020-09-03,Falcon 9,Starlink V1.0-L11,15600.0,LEO,15-16t
2020-069,2020-10-03,Antares 230+,Cygnus NG-14,7942.2,LEO,7-8t
2020-070,2020-10-06,Falcon 9,Starlink V1.0-L12,15600.0,LEO,15-16t
2020-073,2020-10-18,Falcon 9,Starlink V1.0-L13,15600.0,LEO,15-16t
2020-074,2020-10-24,Falcon 9,Starlink V1.0-L14,15600.0,LEO,15-16t
2020-077,2020-10-28,Electron,Electron 15 Rideshare,86.3,LEO,0-1t
2020-078,2020-11-05,Falcon 9,GPS III SV-04,4400.0,MEO,4-5t
2020-081,2020-11-07,PSLV,PSLV Rideshare 17,693.2,LEO,0-1t
2020-083,2020-11-13,Atlas 5,TOPAZ?,7000.0,MEO,6-7t
2020-084,2020-11-16,Falcon 9,Dragon C207,13000.0,LEO,12-13t
2020-085,2020-11-20,Electron,Electron 16 Rideshare,61.815999999999995,LEO,0-1t
2020-086,2020-11-21,Falcon 9,Sentinel-6,1192.0,LEO,1-2t
2020-088,2020-11-25,Falcon 9,Starlink V1.0-L15,15600.0,LEO,15-16t
2020-089,2020-11-29,H2,Deta Chukei Eisei 1,3800.0,GEO,3-4t
2020-090,2020-12-02,Soyuz,FalconEye 2,1197.0,LEO,1-2t
2020-093,2020-12-06,Falcon 9,Dragon C208,15000.0,LEO,14-15t
2020-095,2020-12-11,Delta 4H,ORION 10?,5000.0,GTO,4-5t
2020-096,2020-12-13,Falcon 9,SXM-7,7000.0,GEO,6-7t
2020-098,2020-12-15,Electron,Strix-Alpha,150.0,LEO,0-1t
2020-099,2020-12-17,PSLV,GSAT-12R,1410.0,GEO,1-2t
2020-101,2020-12-19,Falcon 9,NROL-108,4000.0,LEO,3-4t
2020-104,2020-12-29,Soyuz,CSO 2,3562.0,LEO,3-4t
2021-001,2021-01-08,Falcon 9,Turksat 5A,3500.0,GEO,3-4t
2021-002,2021-01-17,LauncherOne,-,30.0,LEO,0-1t
2021-004,2021-01-20,Electron,BIU GMS-T,50.0,LEO,0-1t
2021-005,2021-01-20,Falcon 9,Starlink V1.0-L16,15600.0,LEO,15-16t
2021-006,2021-01-24,Falcon 9,Transporter-1,4586.724,LEO,4-5t
2021-009,2021-02-04,Falcon 9,Starlink V1.0-L18,15600.0,LEO,15-16t
2021-012,2021-02-16,Falcon 9,Starlink V1.0-L19,15600.0,LEO,15-16t
