Launch_Tag,Launch_Date,LV_Type,Mission,Payload_Mass,LV_Display,Mass_Bin,Mass_Bin_1t
2020-007,2020-01-31,Electron,NROL-151,150.0,Electron,100-150kg,0-1t
2020-037,2020-06-13,Electron,NRO/ANDESITE/M2PF,156.5,Electron,150-200kg,0-1t
2020-044,2020-07-06,Shavit 2,'Ofeq-16,300.0,Shavit 2,250-300kg,0-1t
2020-046,2020-07-15,Minotaur IV,NROL-129,1000.0,Minotaur IV,950-1000kg,0-1t
2020-060,2020-08-31,Electron,Sequoia,120.0,Electron,100-150kg,0-1t
2020-061,2020-09-03,Vega,SSMS,832.208,Vega,800-850kg,0-1t
2020-077,2020-10-28,Electron,Electron 15 Rideshare,86.3,Electron,50-100kg,0-1t
2020-081,2020-11-07,PSLV-DL,PSLV Rideshare 17,693.2,Other,650-700kg,0-1t
2020-085,2020-11-20,Electron,Electron 16 Rideshare,61.815999999999995,Electron,50-100kg,0-1t
2020-098,2020-12-15,Electron,Strix-Alpha,150.0,Electron,100-150kg,0-1t
2021-002,2021-01-17,LauncherOne,-,30.0,LauncherOne,0-50kg,0-1t
2021-004,2021-01-20,Electron,BIU GMS-T,50.0,Electron,0-50kg,0-1t
2021-015,2021-02-28,PSLV-DL,PSLV Rideshare 18,657.158,Other,650-700kg,0-1t
2021-023,2021-03-22,Electron,Global-5/Pathstone,115.0,Electron,100-150kg,0-1t
2021-034,2021-04-29,Vega,Pleiades-Neo 3,964.2,Vega,950-1000kg,0-1t
2021-051,2021-06-13,Pegasus XL,TacRL-2,250.0,Other,200-250kg,0-1t
2021-052,2021-06-15,Minotaur I,NROL-111,450.0,Other,400-450kg,0-1t
2021-058,2021-06-30,LauncherOne,Tubular Bells I,36.0,LauncherOne,0-50kg,0-1t
2021-068,2021-07-29,Electron,Monolith,20.0,Electron,0-50kg,0-1t
2021-073,2021-08-17,Vega,Pleiades-Neo 4,939.0,Vega,900-950kg,0-1t
2021-102,2021-11-09,Epsilon,-,323.0,Other,300-350kg,0-1t
2021-106,2021-11-18,Electron,Global-14/Global-15,110.0,Electron,100-150kg,0-1t
2021-108,2021-11-20,Astra Rocket 3.3,STP-27AD2,1.0,Other,0-50kg,0-1t
2021-110,2021-11-24,Falcon 9,DART,610.0,Falcon 9,600-650kg,0-1t
2021-120,2021-12-09,Electron,Global-16/Global-17,110.0,Electron,100-150kg,0-1t
2021-121,2021-12-09,Falcon 9,IXPE,330.0,Falcon 9,300-350kg,0-1t
2022-003,2022-01-13,LauncherOne,Above The Clouds,28.37,LauncherOne,0-50kg,0-1t
2022-006,2022-01-21,Atlas V 511,GSSAP 5/6,1000.0,Other,950-1000kg,0-1t
2022-020,2022-02-28,Electron,Strix Beta,150.0,Electron,100-150kg,0-1t
2022-026,2022-03-15,Astra Rocket 3.3,Spaceflight Astra 1,16.68,Other,0-50kg,0-1t
2022-034,2022-04-02,Electron,Global-18/Global-20,110.0,Electron,100-150kg,0-1t
2022-040,2022-04-17,Falcon 9,INTRUDER,1000.0,Falcon 9,950-1000kg,0-1t
2022-047,2022-05-02,Electron,E-Space Demo,51.316,Electron,50-100kg,0-1t
2022-070,2022-06-28,Electron,CAPSTONE,300.0,Electron,250-300kg,0-1t
2022-072,2022-06-30,PSLV,DS-EO/POEM,573.0,PSLV,550-600kg,0-1t
2022-074,2022-07-02,LauncherOne,Straight Up,78.4,LauncherOne,50-100kg,0-1t
2022-080,2022-07-13,Vega C,LARES 2,310.0,Other,300-350kg,0-1t
2022-079,2022-07-13,Electron,NROL-162,100.0,Electron,50-100kg,0-1t
2022-091,2022-08-04,Electron,NROL-199,100.0,Electron,50-100kg,0-1t
2022-094,2022-08-04,Falcon 9,KPLO,678.0,Falcon 9,650-700kg,0-1t
2022-113,2022-09-15,Electron,Strix-1,150.0,Electron,100-150kg,0-1t
2022-122,2022-10-01,Firefly Alpha,-,7.75,Firefly Alpha,0-50kg,0-1t
2022-127,2022-10-07,Electron,GAzelle,118.0,Electron,100-150kg,0-1t
2022-147,2022-11-04,Electron,MATS,54.0,Electron,50-100kg,0-1t
2022-179,2022-12-30,Falcon 9,EROS C3,400.0,Falcon 9,350-400kg,0-1t
2023-011,2023-01-24,Electron,Hawk 6,93.0,Electron,50-100kg,0-1t
2023-019,2023-02-10,SSLV,EOS-07,175.0,Other,150-200kg,0-1t
2023-035,2023-03-16,Electron,Capella 9/10,224.0,Electron,200-250kg,0-1t
2023-041,2023-03-24,Electron,Global-19/Global-5,110.0,Electron,100-150kg,0-1t
2023-044,2023-03-28,Shavit 2,'Ofeq-13,300.0,Shavit 2,250-300kg,0-1t
2023-057,2023-04-22,PSLV,TeLEOS-2,807.0,PSLV,800-850kg,0-1t
2023-062,2023-05-08,Electron,Tropics SV05/SV06,8.0,Electron,0-50kg,0-1t
2023-072,2023-05-25,Nuri,-,226.2,Other,200-250kg,0-1t
2023-073,2023-05-26,Electron,Tropics SV03/SV07,8.0,Electron,0-50kg,0-1t
2023-100,2023-07-18,Electron,Electron 39 Rideshare,88.0,Electron,50-100kg,0-1t
2023-109,2023-07-30,PSLV,DS-SAR,422.5,PSLV,400-450kg,0-1t
2023-126,2023-08-23,Electron,Capella 11 Acadia-1,180.0,Electron,150-200kg,0-1t
2023-142,2023-09-15,Firefly Alpha,-,100.0,Firefly Alpha,50-100kg,0-1t
2023-155,2023-10-09,Vega,THEOS-2/TRITON,725.0,Vega,700-750kg,0-1t
2023-188,2023-12-04,ADD TV2,-,80.0,Other,50-100kg,0-1t
2023-196,2023-12-15,Electron,QPS-SAR-5,120.0,Electron,100-150kg,0-1t
2023-202,2023-12-22,Firefly Alpha,Tantrum,250.0,Firefly Alpha,200-250kg,0-1t
2024-001,2024-01-01,PSLV-DL,XPoSAT,519.0,Other,500-550kg,0-1t
2024-022,2024-01-31,Electron,Lemur SSA 1-4,100.0,Electron,50-100kg,0-1t
2024-034,2024-02-18,Electron,ADRAS-J,150.0,Electron,100-150kg,0-1t
2024-047,2024-03-12,Electron,Strix-3,150.0,Electron,100-150kg,0-1t
2024-053,2024-03-21,Electron,NROL-123,130.0,Electron,100-150kg,0-1t
2024-077,2024-04-23,Electron,Neonsat-1,116.1,Electron,100-150kg,0-1t
