Launch_Date,LC39A,LC40,SLC4E
2019-05-24,,442.0,
2019-11-11,,300.0,
2020-01-07,,297.0,
2020-01-29,,300.0,
2020-02-17,,380.0,
2020-03-18,338.0,,
2020-04-22,354.0,,
2020-06-04,,355.0,
2020-06-13,,362.0,
2020-08-07,422.0,,
2020-08-18,,353.0,
2020-09-03,290.0,,
2020-10-06,276.0,,
2020-10-18,269.0,,
2020-10-24,,270.0,
2020-11-25,,347.0,
2021-01-20,281.0,,
2021-02-04,,301.0,
2021-02-16,,286.0,
2021-03-04,280.0,,
2021-03-11,,278.0,
2021-03-14,284.0,,
2021-03-24,,294.0,
2021-04-07,,277.0,
2021-04-29,,282.0,
2021-05-04,276.0,,
2021-05-09,,279.0,
2021-05-15,583.0,,
2021-05-26,,281.0,
2021-09-14,,,334.0
2021-11-13,,330.0,
2021-12-02,,440.0,
2021-12-18,,,339.0
2022-01-06,337.0,,
2022-01-19,339.0,,
2022-02-03,335.0,,
2022-02-21,,335.0,
2022-02-25,,,313.0
2022-03-03,315.0,,
2022-03-09,,311.0,
2022-03-19,,315.0,
2022-04-21,,324.0,
2022-04-29,,316.0,
2022-05-06,317.0,,
2022-05-13,,,314.0
2022-05-14,,317.0,
2022-05-18,316.0,,
2022-06-17,328.0,,
2022-07-07,,327.0,
2022-07-11,,,319.0
2022-07-17,,337.0,
2022-07-22,,,319.0
2022-07-24,335.0,,
2022-08-10,334.0,,
2022-08-12,,,319.0
2022-08-19,,337.0,
2022-08-28,,335.0,
2022-08-31,,,319.0
2022-09-05,,314.0,
2022-09-11,334.0,,
2022-09-19,,336.0,
2022-09-24,,337.0,
2022-10-05,,,310.0
2022-10-20,,334.0,
2022-10-28,,,337.0
2022-12-17,336.0,,
2022-12-28,,336.0,
2023-01-19,,,323.0
2023-01-26,,336.0,
2023-01-31,,,337.0
2023-02-02,342.0,,
2023-02-12,,339.0,
2023-02-17,,,317.0
2023-02-27,,372.0,
2023-03-03,,,328.0
2023-03-17,,,332.0
2023-03-24,,339.0,
2023-03-29,,335.0,
2023-04-19,,352.0,
2023-04-27,,,349.0
2023-05-04,,339.0,
2023-05-10,,,332.0
2023-05-14,,337.0,
2023-05-19,,321.0,
2023-05-31,,,331.0
2023-06-04,,322.0,
2023-06-12,,338.0,
2023-06-22,,,334.0
2023-06-23,,339.0,
2023-07-07,,,334.0
2023-07-10,,321.0,
2023-07-16,,338.0,
2023-07-20,,,312.0
2023-07-24,,302.0,
2023-07-28,,321.0,
2023-08-07,,292.0,
2023-08-08,,,292.0
2023-08-11,,293.0,
2023-08-17,,292.0,
2023-08-22,,,294.0
2023-08-27,,291.0,
2023-09-01,,292.0,
2023-09-04,292.0,,
2023-09-09,,292.0,
2023-09-12,,,294.0
2023-09-16,,292.0,
2023-09-20,,288.0,
2023-09-24,,293.0,
2023-09-25,,,293.0
2023-09-30,,293.0,
2023-10-05,,291.0,
2023-10-09,,,295.0
2023-10-13,,292.0,
2023-10-18,,292.0,
2023-10-21,,,295.0
2023-10-22,,290.0,
2023-10-29,,,294.0
2023-10-30,,292.0,
2023-11-04,,292.0,
2023-11-08,,292.0,
2023-11-18,,291.0,
